t,wp_idx,des_q1,des_q2,leader_q1,leader_q2,leader_dq1,leader_dq2,foll_q1,foll_q2,foll_dq1,foll_dq2
1.98,0,0.0,0.0,2.037285565822685e-11,3.730543895576618e-11,7.509357718982201e-14,1.3748724381201782e-13,2.0333085922027574e-11,3.726520615584626e-11,8.277016225188838e-14,1.5239198791761055e-13
2.0,0,0.0,0.0,2.037646861928565e-11,3.7312054858036654e-11,7.881716113100623e-14,1.443845043525016e-13,2.0336686732215784e-11,3.727183486731486e-11,7.690766426482476e-14,1.4163670236655435e-13
2.02,0,0.0,0.0,2.037989418207047e-11,3.7318327645881354e-11,7.32027286010073e-14,1.341010635869111e-13,2.0340087612053944e-11,3.727809594230666e-11,7.268274523908325e-14,1.3387901898198606e-13
2.04,0,0.0,0.0,2.0383129942688264e-11,3.7324252739630316e-11,6.917643541326512e-14,1.2674583604876943e-13,2.034330004888091e-11,3.728401039179238e-11,6.867553400957682e-14,1.2644052471699752e-13
2.06,0,0.0,0.0,2.0386237226649646e-11,3.732994253548701e-11,5.977206576912586e-14,1.0941247907680918e-13,2.0346384432757686e-11,3.728968936297458e-11,5.930759355843307e-14,1.0925982341092322e-13
2.08,0,0.0,0.0,2.0389120572555433e-11,3.733522235373628e-11,6.184722872726311e-14,1.1328438187518941e-13,2.0349246345287567e-11,3.729495881451637e-11,6.136020511138263e-14,1.1303458169464875e-13
2.1,0,0.0,0.0,2.0391890966278893e-11,3.734029530968048e-11,5.329981248025639e-14,9.751921492551219e-14,2.0351995761000035e-11,3.7300021570286544e-11,5.285355486606136e-14,9.731104810839497e-14
2.12,0,0.0,0.0,2.0394504843709364e-11,3.734508167542867e-11,5.0342108953715936e-14,9.221789998292707e-14,2.0354589521276035e-11,3.730479799953867e-11,4.9948760405538195e-14,9.202361095361766e-14
2.14,0,0.0,0.0,2.0396930976354836e-11,3.734952445490632e-11,5.202609176802042e-14,9.535428002749313e-14,2.0357043167069523e-11,3.730931681541572e-11,4.6460231495348836e-14,8.561207298640738e-14
2.16,0,0.0,0.0,2.0399175222810178e-11,3.735363420910994e-11,5.446771506045778e-14,9.978129433818594e-14,2.0359258487878266e-11,3.731339684339786e-11,5.49295851859366e-14,1.0116907311896739e-13
2.18,0,0.0,0.0,2.040138079143722e-11,3.7357673061695655e-11,4.231424238776427e-14,7.74658115432203e-14,2.0361444663164205e-11,3.7317423136585606e-11,4.195211886215411e-14,7.724376693829527e-14
2.2,0,0.0,0.0,2.040349712849074e-11,3.736154846169657e-11,3.612821847243097e-14,6.596112545054211e-14,2.0363541959025493e-11,3.7321286004944116e-11,3.572012477470743e-14,6.583622536027178e-14
2.22,0,0.0,0.0,2.0405458002662112e-11,3.736513897846936e-11,3.782174226585333e-14,6.933342788784103e-14,2.0365484822864052e-11,3.732486486437515e-11,3.7544620190566036e-14,6.909750549510818e-14
2.24,0,0.0,0.0,2.0407341369388583e-11,3.7368587719761905e-11,3.2093685348177914e-14,5.877243136609422e-14,2.0367350635923658e-11,3.73283017540369e-11,3.1807022293772746e-14,5.859202012459264e-14
2.2600000000000002,0,0.0,0.0,2.0409086061453015e-11,3.737178295550457e-11,3.363715556092828e-14,6.168676680573526e-14,2.0369078812119554e-11,3.7331485693260284e-11,3.3364370294330925e-14,6.138145547396334e-14
2.2800000000000002,0,0.0,0.0,2.041073316057677e-11,3.7374798806962044e-11,3.172202084344988e-14,5.80785419757035e-14,2.037064895110366e-11,3.73343779768951e-11,3.823677485748078e-14,7.042977312465837e-14
2.3000000000000003,0,0.0,0.0,2.041228772000934e-11,3.737764518287479e-11,2.994349559970466e-14,5.485889520429055e-14,2.037219752053606e-11,3.733723081985697e-11,2.912080299122266e-14,5.365152766501069e-14
2.32,0,0.0,0.0,2.0413730611822316e-11,3.7380287152850914e-11,3.097001821661394e-14,5.667688540711424e-14,2.0373629148789505e-11,3.733986840445213e-11,3.073799895170204e-14,5.66352520436908e-14
2.34,0,0.0,0.0,2.0415120809241304e-11,3.7382832547301685e-11,2.6270652320192767e-14,4.810041254188491e-14,2.0375008363674165e-11,3.734240958005541e-11,2.601694901183116e-14,4.7933879088191134e-14
2.36,0,0.0,0.0,2.0416403537071505e-11,3.738518111308798e-11,2.801751886050141e-14,5.122291479864316e-14,2.0376280844059116e-11,3.734475409352766e-11,2.7797208979052357e-14,5.1209037010835345e-14
2.38,0,0.0,0.0,2.0417639725306625e-11,3.738744456640165e-11,2.3746195981777518e-14,4.353462035311395e-14,2.0377487150814993e-11,3.7346977176356586e-11,2.5725515467867055e-14,4.7531423241764514e-14
2.4,0,0.0,0.0,2.0418805934796708e-11,3.7389580246922973e-11,2.2495894036467234e-14,4.1175396425785493e-14,2.0378645137715806e-11,3.734911142746576e-11,2.2254767473306458e-14,4.105049633551516e-14
2.42,0,0.0,0.0,2.0419778883514824e-11,3.7391362057732984e-11,3.533631720564756e-14,6.482314685030133e-14,2.0379610840927646e-11,3.735089142028558e-11,3.515894173022893e-14,6.478151348687788e-14
2.44,0,0.0,0.0,2.0420844816013343e-11,3.73933136771546e-11,1.795699006157392e-14,3.282096816548119e-14,2.0380650896122393e-11,3.735280810931528e-11,1.9809241053048154e-14,3.649858193455202e-14
2.46,0,0.0,0.0,2.04218115570235e-11,3.7395083927767365e-11,2.1114186787851708e-14,3.8719027983802334e-14,2.0381614274804776e-11,3.735458371675415e-11,2.070045523883124e-14,3.8219427622721014e-14
2.48,0,0.0,0.0,2.042274363001867e-11,3.739679065974531e-11,1.7924463996399354e-14,3.284872374109682e-14,2.0382539874245616e-11,3.735628971320936e-11,1.7770507287906412e-14,3.2862601528904634e-14
2.5,0,0.0,0.0,2.0423623069768862e-11,3.7398400732931197e-11,1.6919191742070794e-14,3.098910017484968e-14,2.0383413056414555e-11,3.7357899425572763e-11,1.67990621413594e-14,3.1030733538273125e-14
2.52,0,0.0,0.0,2.042438080348838e-11,3.739978808150056e-11,2.403546112139665e-14,4.39648317751562e-14,2.0384186727038642e-11,3.735932574297029e-11,2.144898841871523e-14,3.9593328615694645e-14
2.54,0,0.0,0.0,2.0425172037753976e-11,3.740123713071451e-11,1.4703516182379417e-14,2.696454171058349e-14,2.0384967800161488e-11,3.7360765799377744e-11,1.4929030234256402e-14,2.758904216193514e-14
