it,K_err,q1,q2,q3,q4
104,3.700558772134021,67.18421142887564,66.33364698866217,17.594611175534283,10.117622180226817
105,3.700418224879042,67.21348282357042,66.30437559396739,17.56533978083951,10.088350785532043
106,3.659490310599421,67.71417943947199,66.80507220986897,18.066036396741083,10.589047401433618
107,3.6575588581847747,67.60535377220322,66.91389787713774,17.95721072947231,10.697873068702393
108,3.655961081819236,67.50639780693234,67.01285384240862,17.858254764201433,10.796829033973268
109,3.648638052999453,67.29646930362264,67.22278234571831,17.648326260891736,10.58690053066357
110,3.6480286413251664,67.23626912356394,67.28298252577702,17.708526440950436,10.52670035060487
111,3.585126647821681,67.84914962440268,67.89586302661576,17.095645940111694,11.139580851443611
112,3.549483300886916,68.30901986101367,68.35573326322674,17.555516176722676,11.599451088054593
113,3.456092785782145,69.04132573839149,69.08803914060456,16.82321029934485,10.867145210676767
114,3.455601888475993,68.98801348052984,69.14135139846621,16.769898041483202,10.920457468538416
115,3.368811314895709,69.68510528525428,69.83844320319065,16.072806236758765,10.22336566381398
116,3.3094353688732445,70.25970005268277,70.41303797061914,16.64740100418726,9.648770896385486
117,3.309027690900184,70.21275684865657,70.45998117464535,16.694344208213465,9.60182769235928
118,3.3086526696527265,70.16773515696627,70.50500286633564,16.73936589990376,9.556806000668985
119,3.308307731923547,70.12455909214509,70.54817893115683,16.782541964724942,9.513629935847803
120,3.2466947162347415,70.70212153694854,71.12574137596027,16.204979519921494,10.09119238065125
121,3.24631523286085,70.74717932364138,71.08068358926744,16.159921733228657,10.046134593958413
122,3.1912190378684353,71.29055796598948,71.62406223161554,16.70330037557676,9.502755951610311
123,3.1435934864243644,71.79162422647266,72.12512849209872,17.204366636059945,9.001689691127126
124,3.1372837344830353,71.61072800978218,72.30602470878921,17.02347041936946,8.820793474436641
125,3.137123864711718,71.63948412932996,72.27726858924143,16.99471429982168,8.792037354888862
126,3.134015295303527,71.5117090993067,72.40504361926469,16.866939269798422,8.91981238491212
127,3.0585527515129316,72.13158415988573,73.02491867984372,16.24706420921939,8.299937324333087
128,2.9941867193823555,72.69909869345724,73.59243321341523,15.679549675647877,8.867451857904598
129,2.957056696623072,73.12794376000852,74.02127827996651,16.108394742199152,9.296296924455874
130,2.8831580215376222,73.7237986792627,74.61713319922069,15.512539822944973,8.700442005201694
131,2.8473123435030625,74.13725239340806,75.03058691336605,15.925993537090335,9.113895719347056
132,2.845673356007776,74.04890426821908,75.11893503855504,15.837645411901349,9.202243844536042
133,2.840716740896993,73.89626608076071,75.2715732260134,15.685007224442984,9.049605657077677
134,2.80836790865766,74.28614299878177,75.66145014403446,16.074884142464043,9.439482575098737
135,2.7804486973327824,74.64629200589656,76.02159915114925,16.435033149578828,9.799631582213522
136,2.7031611138862828,75.23677836781872,76.6120855130714,15.844546787656668,9.209145220291362
137,2.662802872199705,75.66146127671146,77.03676842196415,16.269229696549417,8.784462311398613
138,2.6601565413722414,75.55297073170152,77.1452589669741,16.160739151539474,8.892952856408556
139,2.5903806666781803,76.10229833384551,77.69458656911809,15.611411549395484,8.343625254264566
140,2.5863221598463744,75.97042713337942,77.82645776958418,15.47954034892939,8.211754053798472
141,2.586175690553469,75.99542748656262,77.80145741640098,15.454539995746188,8.18675370061527
142,2.529874399369637,76.48317657464986,78.28920650448822,14.966790907658947,8.674502788702512
143,2.528693913815565,76.41251908945378,78.3598639896843,14.896133422462867,8.745160273898591
144,2.5253186545041397,76.29368052152529,78.47870255761279,14.777294854534375,8.6263217059701
145,2.525230771371014,76.27459656641577,78.49778651272231,14.796378809643898,8.607237750860577
146,2.525151453058094,76.25646657649753,78.51591650264055,14.814508799562134,8.58910776094234
147,2.4939894485376675,76.61716690260278,78.8766168287458,15.17520912566738,8.949808087047586
148,2.4670771257859605,76.95032759655106,79.20977752269408,15.508369819615666,9.282968780995873
149,2.467018579316485,76.93493955470586,79.22516556453928,15.523757861460865,9.267580739150674
