t,wp_idx,des_q1,des_q2,leader_q1,leader_q2,leader_dq1,leader_dq2,foll_q1,foll_q2,foll_dq1,foll_dq2
1.7,0,0.0,0.0,2.0264114114710984e-11,3.710749430428812e-11,2.725168181394455e-13,4.990591273568157e-13,2.0225410190109935e-11,3.706563168591649e-11,2.658442042891007e-13,4.889005866814955e-13
1.72,0,0.0,0.0,2.027394566521525e-11,3.7125497819633323e-11,1.8379091651365975e-13,3.365363543395006e-13,2.023518829551863e-11,3.7083611664533575e-11,1.8293005998870626e-13,3.363698208858068e-13
1.74,0,0.0,0.0,2.028283283269288e-11,3.7141771746284024e-11,2.1666089061733729e-13,3.967659534254153e-13,2.024402739337506e-11,3.7099865773703295e-11,2.1549559012234987e-13,3.962524752765262e-13
1.76,0,0.0,0.0,2.0290783152782645e-11,3.7156330267339377e-11,2.556340555903702e-13,4.680422716063504e-13,2.0251933615493018e-11,3.71144055875007e-11,2.5418122467923965e-13,4.674316489428065e-13
1.78,0,0.0,0.0,2.0298960156995275e-11,3.717130406731711e-11,1.721192632864188e-13,3.152339500545054e-13,2.0260064602262318e-11,3.712935923693052e-11,1.7114391501205084e-13,3.148453719958866e-13
1.8,0,0.0,0.0,2.0306287338391618e-11,3.7184721792581295e-11,2.066224795427285e-13,3.783223734288299e-13,2.026734970924179e-11,3.714275771370304e-11,2.0544460230254025e-13,3.7779501749213296e-13
1.82,0,0.0,0.0,2.0313570401866842e-11,3.7198058596464794e-11,1.5782080503567997e-13,2.890326866733517e-13,2.027459001568646e-11,3.715607447806094e-11,1.569131109768751e-13,2.885469641000782e-13
1.84,0,0.0,0.0,2.0320156091325894e-11,3.721011810263623e-11,1.8193866552218552e-13,3.331779296900095e-13,2.028095538615676e-11,3.7167782557011726e-11,2.0094386224411842e-13,3.6960712268552243e-13
1.86,0,0.0,0.0,2.032667302632101e-11,3.722205208421697e-11,1.4128975767135898e-13,2.5873747588889273e-13,2.0287473028485383e-11,3.7179771300343146e-11,1.3730639888964724e-13,2.5253410473879967e-13
1.8800000000000001,0,0.0,0.0,2.0332403622440183e-11,3.7232546092656966e-11,1.8090607137311032e-13,3.312905505481467e-13,2.0293174029788362e-11,3.719025861968942e-11,1.8018616113057995e-13,3.3141545063841704e-13
1.9000000000000001,0,0.0,0.0,2.0338120937950095e-11,3.7243015953746175e-11,1.4036471637779435e-13,2.570582635641472e-13,2.0298862630420578e-11,3.720072369294185e-11,1.3966649017871369e-13,2.569611190494925e-13
1.92,0,0.0,0.0,2.0343414404136314e-11,3.725270950526322e-11,1.4556845312485578e-13,2.6660618157592353e-13,2.030412871529777e-11,3.7210412192944116e-11,1.4483726717973155e-13,2.663980147588063e-13
1.94,0,0.0,0.0,2.0348556075513172e-11,3.7262125043057104e-11,1.2365672721892373e-13,2.2647161923572412e-13,2.03092433158811e-11,3.7219822221256224e-11,1.2302919100148912e-13,2.2630508578203035e-13
1.96,0,0.0,0.0,2.0353414376774458e-11,3.72710214128091e-11,1.1740738589671729e-13,2.15036322082085e-13,2.0314075579810382e-11,3.722871319254876e-11,1.167863548923176e-13,2.1489754420400686e-13
1.98,0,0.0,0.0,2.0358009618062635e-11,3.727943611230184e-11,1.1104398650596536e-13,2.0336510253571305e-13,2.031864566066927e-11,3.7237122118881776e-11,1.1042425654417265e-13,2.0324020244544272e-13
2.0,0,0.0,0.0,2.036245043166489e-11,3.728756791309013e-11,9.454459784508096e-14,1.7313928069029316e-13,2.0323061616985162e-11,3.7245247771810063e-11,9.400509884405217e-14,1.7294499166098376e-13
2.02,0,0.0,0.0,2.036643750926006e-11,3.729486864255553e-11,1.1238883088071638e-13,2.0579371540208058e-13,2.0327126555908825e-11,3.725272780229396e-11,1.0060919111709588e-13,1.8511581156843704e-13
2.04,0,0.0,0.0,2.0370415567594192e-11,3.730215305174249e-11,8.420261016217623e-14,1.5420997812043424e-13,2.03310592095907e-11,3.725996480495777e-11,8.54316617449058e-14,1.5726309143815342e-13
2.06,0,0.0,0.0,2.0373997381692988e-11,3.73087119995718e-11,9.90665882660835e-14,1.8131329770909588e-13,2.0334704813374833e-11,3.726667403535124e-11,8.847002991307917e-14,1.628142065612792e-13
2.08,0,0.0,0.0,2.0377480577195847e-11,3.731509038350394e-11,8.37858428470728e-14,1.5333567748854193e-13,2.033821819566826e-11,3.727314036282472e-11,7.633520551775241e-14,1.4056811270535263e-13
2.1,0,0.0,0.0,2.038069225855074e-11,3.732097147078777e-11,8.840020729317111e-14,1.6189827256596345e-13,2.0341383651413002e-11,3.727896668835786e-11,8.921119051819026e-14,1.6422974091767628e-13
2.12,0,0.0,0.0,2.038387987929102e-11,3.7326808468339744e-11,6.754189221802598e-14,1.2360945600420337e-13,2.0344541380265705e-11,3.728477905283648e-11,6.684279865720733e-14,1.2298495555285172e-13
2.14,0,0.0,0.0,2.038681194707403e-11,3.733217760403135e-11,7.258299863921458e-14,1.3292145162324687e-13,2.0347445168152937e-11,3.729012376362154e-11,7.185051165148337e-14,1.322830733840874e-13
2.16,0,0.0,0.0,2.03895186677723e-11,3.733713438901382e-11,7.609364527372264e-14,1.393746229538806e-13,2.0350125573963435e-11,3.729505794168767e-11,7.535248466861155e-14,1.3869461135129768e-13
2.18,0,0.0,0.0,2.0392096994647216e-11,3.734185558467046e-11,7.054253015059686e-14,1.2909118218829008e-13,2.0352678595993335e-11,3.7299757640651e-11,6.980440531156873e-14,1.2857770403940094e-13
2.2,0,0.0,0.0,2.039459852184441e-11,3.7346436239969965e-11,6.016628167904159e-14,1.1017575740623897e-13,2.0355155092431814e-11,3.730431706293518e-11,5.957213888851953e-14,1.0967615704515765e-13
2.22,0,0.0,0.0,2.0397005701334868e-11,3.735084400578898e-11,5.233747463195826e-14,9.586775817638227e-14,2.035753783227058e-11,3.7308704095339196e-11,5.1823996483069124e-14,9.538203560310876e-14
2.24,0,0.0,0.0,2.0399183539973463e-11,3.735483209342687e-11,6.0135490337343e-14,1.1014800183062334e-13,2.0359633848773302e-11,3.731256336935067e-11,6.613719988335376e-14,1.2179146580137967e-13
2.2600000000000002,0,0.0,0.0,2.0401291816200673e-11,3.7358692949506164e-11,5.191333474208193e-14,9.50350909079134e-14,2.0361734690843057e-11,3.731643173331315e-11,5.021547413996963e-14,9.245382237565991e-14
2.2800000000000002,0,0.0,0.0,2.0403244925749768e-11,3.736226968563566e-11,5.365759919717661e-14,9.836575998178887e-14,2.0363669459594518e-11,3.7319994466754745e-11,5.326338328726088e-14,9.81020820134404e-14
2.3000000000000003,0,0.0,0.0,2.040514206141014e-11,3.736574360123529e-11,4.562799790774896e-14,8.353040481523522e-14,2.0365548962224438e-11,3.7323455448256145e-11,4.5182173974422923e-14,8.321121569565548e-14
2.32,0,0.0,0.0,2.040684318849656e-11,3.736885866499779e-11,5.351925499996746e-14,9.797718192317006e-14,2.0367234117278135e-11,3.7326558577121114e-11,5.3005776851078323e-14,9.757472607674345e-14
2.34,0,0.0,0.0,2.0408583596227688e-11,3.737204540753431e-11,3.666771747345976e-14,6.70991040507829e-14,2.0368957811815925e-11,3.7329733093326565e-11,3.629171616004179e-14,6.689093723366568e-14
2.36,0,0.0,0.0,2.0410149276972467e-11,3.737491282217336e-11,4.330043268385708e-14,7.926992395823618e-14,2.037050835839942e-11,3.733258886450164e-11,4.2882798007015666e-14,7.899236820207989e-14
2.38,0,0.0,0.0,2.041170491280095e-11,3.737776151567667e-11,3.292721997838477e-14,6.031286581276163e-14,2.0372048751646408e-11,3.733542612270779e-11,3.262190864661285e-14,6.00908212078366e-14
2.4,0,0.0,0.0,2.0413172194392313e-11,3.738044819988512e-11,3.135946363697073e-14,5.741240816092841e-14,2.0373501518806454e-11,3.73381019267306e-11,3.1078004752993493e-14,5.725975249504245e-14
2.42,0,0.0,0.0,2.041445928982255e-11,3.738280489805506e-11,4.067666342644216e-14,7.446820937673237e-14,2.037477571136348e-11,3.734044910473811e-11,4.0226069003557186e-14,7.42045314083839e-14
2.44,0,0.0,0.0,2.0415749521632826e-11,3.738516771632943e-11,3.080131635857519e-14,5.6440963014381396e-14,2.03760530186165e-11,3.7342802180805435e-11,3.0542408879785654e-14,5.6343818499726694e-14
